,year,rule,region_pol,region_geo,property,polyarchy,justice,education,country_text_id,country_name
13117,2019,0.7929999999999999,8,14,0.708,0.49,0.715,,MDV,Maldives
13226,2019,0.652,1,12,0.88,0.6829999999999999,0.727,,MNG,Mongolia
13457,2019,0.6990000000000001,3,5,0.649,0.29,0.851,4.39,MAR,Morocco
13686,2019,0.9840000000000001,5,1,0.885,0.83,0.946,11.53,NLD,Netherlands
13803,2019,0.6970000000000001,2,17,0.6940000000000001,0.7829999999999999,0.862,9.06,PAN,Panama
13923,2019,0.462,9,15,0.687,0.485,0.703,,PNG,Papua New Guinea
14043,2019,0.48200000000000004,3,10,0.44,0.091,0.638,,QAT,Qatar
14163,2019,0.405,4,6,0.623,0.624,0.745,3.99,SLE,Sierra Leone
14394,2019,0.983,5,3,0.897,0.8759999999999999,0.9590000000000001,10.26,ESP,Spain
14494,2019,0.091,3,10,0.371,0.145,0.048,7.99,SYR,Syria
14725,2019,0.89,3,5,0.892,0.723,0.9590000000000001,6.331,TUN,Tunisia
14956,2019,0.203,3,10,0.392,0.292,0.18899999999999997,6.75,TUR,Turkey
14986,2019,0.41700000000000004,1,4,0.856,0.469,0.5770000000000001,11.512,UKR,Ukraine
15217,2019,0.968,5,2,0.815,0.8590000000000001,0.9159999999999999,13.3,GBR,United Kingdom
15412,2019,0.958,2,18,0.853,0.858,0.9279999999999999,8.71,URY,Uruguay
15532,2019,0.217,3,5,0.611,0.3,0.5,7.3,DZA,Algeria
15652,2019,0.406,4,7,0.603,0.386,0.48700000000000004,2.98,AGO,Angola
15682,2019,0.8,1,10,0.894,0.805,0.812,10.818,ARM,Armenia
